camada,dominio,modelo,arquivo,schema_atual,padrao_nome,prioridade
silver,conjuntura,silver_imob_infomoney,conjuntura_dbt/silver/silver_imob_infomoney.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_novo_caged,conjuntura_dbt/silver/silver_novo_caged.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,conjuntura,silver_ticket_medio_empresas,conjuntura_dbt/silver/silver_ticket_medio_empresas.sql,conjuntura_silver,aderente_prefixo_silver,P1
silver,empreendimento_far,empreendimento,empreendimento_far_dbt/silver/empreendimento.sql,empreendimento_far,fora_prefixo_silver,P0
silver,empreendimento_far,evolucao_financeira,empreendimento_far_dbt/silver/evolucao_financeira.sql,empreendimento_far,fora_prefixo_silver,P0
silver,entidades_fds,fds_empreendimento,entidades_dbt/silver/fds_empreendimento.sql,entidades_fds,prefixo_dominio_sem_prefixo_silver,P0
silver,entidades_fds,fds_evolucao_financeira,entidades_dbt/silver/fds_evolucao_financeira.sql,entidades_fds,prefixo_dominio_sem_prefixo_silver,P0
mart_dashboard,empreendimento_far,ficha_empreendimento,empreendimento_far_dbt/gold/ficha_empreendimento.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,empreendimento_far,resumo_gerencial,empreendimento_far_dbt/gold/resumo_gerencial.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,empreendimento_far,mapa_nacional,empreendimento_far_dbt/gold/mapa_nacional.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,empreendimento_far,panorama_estadual,empreendimento_far_dbt/gold/panorama_estadual.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,empreendimento_far,evolucao_financeira_chart,empreendimento_far_dbt/gold/evolucao_financeira_chart.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,empreendimento_far,execucao_fisica_financeira_chart,empreendimento_far_dbt/gold/execucao_fisica_financeira_chart.sql,empreendimento_far,mart_sem_prefixo_dashboard,P0
mart_dashboard,entidades_fds,fds_ficha_empreendimento,entidades_dbt/gold/fds_ficha_empreendimento.sql,entidades_fds,mart_sem_prefixo_dashboard,P0
mart_dashboard,entidades_fds,fds_panorama_entidade,entidades_dbt/gold/fds_panorama_entidade.sql,entidades_fds,mart_sem_prefixo_dashboard,P0
mart_dashboard,entidades_fds,fds_evolucao_financeira_chart,entidades_dbt/gold/fds_evolucao_financeira_chart.sql,entidades_fds,mart_sem_prefixo_dashboard,P0
mart_dashboard,indicadores_mcmv,indicadores_gargalo_desempenho,indicadores_mcmv_dbt/gold/indicadores_gargalo_desempenho.sql,mcmv_indicadores,indicador_gold_nao_issue_119,P1
mart_dashboard,indicadores_mcmv,resumo_gargalo_desempenho_dashboard,indicadores_mcmv_dbt/gold/resumo_gargalo_desempenho_dashboard.sql,mcmv_indicadores,indicador_gold_nao_issue_119,P1
mart_dashboard_candidato,conjuntura,gold_abecip_novos_financiamentos_imobiliarios,conjuntura_dbt/gold/gold_abecip_novos_financiamentos_imobiliarios.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_balancos_empresas_lancamentos,conjuntura_dbt/gold/gold_balancos_empresas_lancamentos.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_balancos_empresas_vendas,conjuntura_dbt/gold/gold_balancos_empresas_vendas.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_cbic_lancamentos,conjuntura_dbt/gold/gold_cbic_lancamentos.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_cbic_lancamentos_regiao,conjuntura_dbt/gold/gold_cbic_lancamentos_regiao.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_cbic_vendas,conjuntura_dbt/gold/gold_cbic_vendas.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_cbic_vendas_regiao,conjuntura_dbt/gold/gold_cbic_vendas_regiao.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_empregos_construcao,conjuntura_dbt/gold/gold_empregos_construcao.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_fgts_renda_familiar,conjuntura_dbt/gold/gold_fgts_renda_familiar.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_financiamento_pf_por_faixa,conjuntura_dbt/gold/gold_financiamento_pf_por_faixa.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_financiamentos_habitacionais,conjuntura_dbt/gold/gold_financiamentos_habitacionais.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_financiamentos_imobiliarios,conjuntura_dbt/gold/gold_financiamentos_imobiliarios.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_ibge_pnad_construcao,conjuntura_dbt/gold/gold_ibge_pnad_construcao.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_indicadores_financiamento_pf,conjuntura_dbt/gold/gold_indicadores_financiamento_pf.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_indices_mercado_imobiliario,conjuntura_dbt/gold/gold_indices_mercado_imobiliario.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_pib_construcao_civil,conjuntura_dbt/gold/gold_pib_construcao_civil.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_precos_construcao,conjuntura_dbt/gold/gold_precos_construcao.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_saldo_caderneta_poupanca,conjuntura_dbt/gold/gold_saldo_caderneta_poupanca.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_ticket_medio_vs_incc,conjuntura_dbt/gold/gold_ticket_medio_vs_incc.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
mart_dashboard_candidato,conjuntura,gold_uh_condicao_uso,conjuntura_dbt/gold/gold_uh_condicao_uso.sql,conjuntura_gold,gold_com_prefixo_sem_meta_dashboard,P1
