parent,name,displayName,description,synonyms,relatedTerms,references,tags
"MCID.Atores","CAIXA","Caixa Econômica Federal","Caixa Econômica Federal enquanto agente operador ou financeiro e origem de arquivos operacionais usados pelos modelos habitacionais.","CEF;Caixa Econômica Federal;Caixa","MCID.Atores.AgenteFinanceiro","CAIXA;https://www.caixa.gov.br/sobre-a-caixa/Paginas/default.aspx",""
"MCID.Atores","EntePublico","Ente público","União, estado, Distrito Federal ou município que participa da proposta ou do empreendimento e pode aportar terreno, infraestrutura ou contrapartida.","Poder público","MCID.ExecucaoDeEmpreendimentos.Contrapartida","",""
"MCID.Atores","Proponente","Proponente","Pessoa jurídica ou ente público que apresenta a proposta de empreendimento ao fluxo de seleção e contratação.","","MCID.Identificadores.IDProposta","",""
"MCID.Atores","Tomador","Tomador","Parte identificada na operação como responsável pela contratação ou pelo recebimento do financiamento ou recurso.","","MCID.Identificadores.NumeroOperacao","",""
"MCID.Atores","Construtora","Construtora","Empresa responsável pela execução das obras do empreendimento habitacional, quando informada na operação.","Empresa construtora","MCID.ExecucaoDeEmpreendimentos.EmpreendimentoHabitacional","",""
"MCID.Identificadores","APF","APF","Identificador de Acompanhamento de Programas de Fomento usado pela CAIXA para localizar e integrar operações e empreendimentos; no repositório é normalizado para oito dígitos.","Acompanhamento de Programas de Fomento","MCID.Identificadores.NumeroOperacao;MCID.ExecucaoDeEmpreendimentos.EmpreendimentoHabitacional","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/institucional/base-juridica/portarias-de-autorizacao-de-contratacao-do-mcmv2013rural-2013-selecao-2023",""
"MCID.Identificadores","CNPJ","Cadastro Nacional da Pessoa Jurídica","Número de inscrição no Cadastro Nacional da Pessoa Jurídica, normalizado nos modelos somente com dígitos para identificar entidades, construtoras e proponentes.","Cadastro Nacional da Pessoa Jurídica","","Receita Federal;https://www.gov.br/receitafederal/pt-br/assuntos/cadastros/cnpj",""
"MCID.Identificadores","CodigoIBGE","Código IBGE do município","Código numérico oficial usado para identificar municípios e integrar informações territoriais de diferentes fontes.","Cod IBGE;Código do município","MCID.Identificadores.UF","IBGE;https://www.ibge.gov.br/explica/codigos-dos-municipios.php",""
"MCID.Identificadores","UF","Unidade da Federação","Sigla de duas letras que identifica uma unidade da Federação brasileira na localização dos empreendimentos e indicadores.","Unidade Federativa;Estado","MCID.Identificadores.CodigoIBGE","",""
"MCID.Identificadores","UH","Unidade habitacional","Unidade habitacional usada como unidade de contagem de moradias propostas, contratadas, financiadas, concluídas ou entregues.","Unidade Habitacional;Unidades Habitacionais","MCID.ExecucaoDeEmpreendimentos.EntregaDeUnidade","",""
"MCID.Identificadores","IDProposta","Identificador da proposta","Chave que identifica uma proposta habitacional no sistema de origem antes e durante seu fluxo de seleção e contratação.","ID da proposta","MCID.Identificadores.APF","",""
"MCID.Identificadores","NumeroOperacao","Número da operação","Identificador atribuído pelo agente financeiro à operação ou contrato habitacional.","Número do contrato;Operação AF","MCID.Identificadores.APF;MCID.Atores.AgenteFinanceiro","",""
"MCID.ExecucaoDeEmpreendimentos","EmpreendimentoHabitacional","Empreendimento habitacional","Conjunto organizado de obras, unidades e recursos de uma proposta ou operação habitacional acompanhado ao longo de seu ciclo de vida.","Empreendimento","MCID.Identificadores.APF;MCID.Identificadores.UH","",""
"MCID.ExecucaoDeEmpreendimentos","ExecucaoFisica","Execução física","Avanço da obra medido por percentual, situação, etapas e marcos físicos realizados no empreendimento.","Evolução física;Percentual de obra","MCID.ExecucaoDeEmpreendimentos.ExecucaoFinanceira","",""
"MCID.ExecucaoDeEmpreendimentos","ExecucaoFinanceira","Execução financeira","Evolução dos recursos previstos, liberados ou pagos para a realização do empreendimento ao longo do tempo.","Evolução financeira","MCID.ExecucaoDeEmpreendimentos.ExecucaoFisica;MCID.ExecucaoDeEmpreendimentos.Desembolso","",""
"MCID.ExecucaoDeEmpreendimentos","Desembolso","Desembolso","Liberação ou pagamento de recursos financeiros associado a uma operação, competência ou etapa do empreendimento.","Liberação financeira;Valor liberado","MCID.ExecucaoDeEmpreendimentos.ExecucaoFinanceira","",""
"MCID.ExecucaoDeEmpreendimentos","Contrapartida","Contrapartida","Recurso financeiro, terreno, bem ou serviço aportado por participante da operação além da fonte principal de financiamento.","Valor de contrapartida","MCID.Atores.EntePublico;MCID.ExecucaoDeEmpreendimentos.AporteAdicional","",""
"MCID.ExecucaoDeEmpreendimentos","AporteAdicional","Aporte adicional","Recurso suplementar incorporado à operação para complementar seu financiamento ou viabilizar sua execução.","Aporte;Suplementação","MCID.ExecucaoDeEmpreendimentos.Contrapartida","",""
"MCID.ExecucaoDeEmpreendimentos","TrabalhoSocial","Trabalho social","Conjunto de ações sociais realizadas com as famílias beneficiárias antes, durante ou depois da entrega do empreendimento.","Trabalho Técnico Social;TS","MCID.ExecucaoDeEmpreendimentos.PTS","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/institucional/base-juridica/portarias/copy_of_SEI_MIDR5592649Portaria.pdf",""
"MCID.ExecucaoDeEmpreendimentos","PTS","Projeto de Trabalho Social","Instrumento que planeja objetivos, atividades, cronograma e recursos do trabalho social associado ao empreendimento habitacional.","Projeto de Trabalho Social;Plano de Trabalho Social","MCID.ExecucaoDeEmpreendimentos.TrabalhoSocial","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/institucional/base-juridica/portarias/copy_of_SEI_MIDR5592649Portaria.pdf",""
"MCID.ExecucaoDeEmpreendimentos","EntregaDeUnidade","Entrega de unidade habitacional","Marco em que uma unidade habitacional concluída e destinada ou entregue ao beneficiário conforme o registro operacional.","Entrega de UH;UH entregue","MCID.Identificadores.UH;MCID.ExecucaoDeEmpreendimentos.ExecucaoFisica","",""
"MCID.ExecucaoDeEmpreendimentos","ParalisacaoDeObra","Paralisação de obra","Situação em que a execução do empreendimento permanece interrompida, com data ou motivo registrados quando disponíveis.","Obra paralisada","MCID.ExecucaoDeEmpreendimentos.ExecucaoFisica","",""
"MCID.IndicadoresConjunturais","FinanciamentoHabitacional","Financiamento habitacional","Crédito destinado à produção, construção ou aquisição de moradia, acompanhado nas séries de FGTS e SBPE segundo a classificação de cada fonte.","Crédito habitacional","MCID.FundosEFontes.FGTS;MCID.FundosEFontes.SBPE","",""
"MCID.IndicadoresConjunturais","FinanciamentoImobiliario","Financiamento imobiliário","Crédito relacionado à aquisição, construção ou demais operações imobiliárias, preservando a abrangência adotada pela fonte estatística.","Crédito imobiliário","MCID.IndicadoresConjunturais.FinanciamentoHabitacional","",""
"MCID.IndicadoresConjunturais","LancamentoImobiliario","Lançamento imobiliário","Unidade ou valor de empreendimento residencial disponibilizado ao mercado no período, conforme a metodologia da fonte.","Lançamento","MCID.IndicadoresConjunturais.VendaImobiliaria","",""
"MCID.IndicadoresConjunturais","VendaImobiliaria","Venda imobiliária","Unidade ou valor comercializado no mercado imobiliário no período, conforme a metodologia da fonte.","Venda","MCID.IndicadoresConjunturais.LancamentoImobiliario","",""
"MCID.IndicadoresConjunturais","CaptacaoLiquida","Captação líquida da poupança","Diferença entre depósitos e retiradas da poupança no período, usada para acompanhar a disponibilidade de recursos do SBPE.","Captação líquida SBPE","MCID.FundosEFontes.SBPE","",""
"MCID.IndicadoresConjunturais","TicketMedio","Ticket médio","Valor médio por unidade ou transação, calculado pela razão entre valor financeiro e quantidade correspondente.","Valor médio","","",""
"MCID.IndicadoresConjunturais","SINAPI","SINAPI","Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil, que produz custos e índices da construção para o setor habitacional.","Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil","MCID.FontesInstitucionais.IBGE","IBGE;https://www.ibge.gov.br/estatisticas/todos-os-produtos-estatisticas/9270-sistema-nacional-de-pesquisa-de-custos-e-indices-da-construcao-civil.html",""
"MCID.IndicadoresConjunturais","PNADContinua","PNAD Contínua","Pesquisa Nacional por Amostra de Domicílios Contínua, usada nos modelos para medir ocupação e rendimento no setor da construção.","PNAD Contínua;PNADC;Pesquisa Nacional por Amostra de Domicílios Contínua","MCID.FontesInstitucionais.IBGE","IBGE;https://www.ibge.gov.br/estatisticas/sociais/trabalho/2511-np-pnadcontinua/17270-pnad-continua.html",""
"MCID.IndicadoresConjunturais","NovoCAGED","Novo CAGED","Estatística mensal do emprego formal produzida com informações do eSocial, CAGED e Empregador Web; nos modelos é recortada para a construção de edifícios.","Novo Caged;CAGED;Cadastro Geral de Empregados e Desempregados","","Ministério do Trabalho e Emprego;https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-o-novo-caged",""
"MCID.IndicadoresConjunturais","INCCM","INCC-M","Índice Nacional de Custo da Construção - Mercado, indicador mensal da FGV IBRE usado para acompanhar a evolução dos custos da construção.","INCC-M;Índice Nacional de Custo da Construção - Mercado","MCID.FontesInstitucionais.FGVIBRE","FGV IBRE;https://portalibre.fgv.br/estudos-e-pesquisas/indices-de-precos/incc",""
"MCID.IndicadoresConjunturais","ICST","ICST","Índice de Confiança da Construção da FGV IBRE, obtido por sondagem e acompanhado com e sem ajuste sazonal.","Índice de Confiança da Construção;Índice de Confiança do Setor da Construção","MCID.FontesInstitucionais.FGVIBRE","FGV IBRE;https://portalibre.fgv.br/press-releases/icst-de-maio-de-2026",""
"MCID.IndicadoresConjunturais","FipeZapLocacao","Índice FipeZAP de locação","Índice de preços de locação residencial calculado a partir de anúncios de imóveis e acompanhado nos modelos conjunturais.","FipeZAP;FIPEZAP;Índice FipeZap","","FIPE;https://www.fipe.org.br/pt-br/indices/fipezap",""
"MCID.IndicadoresConjunturais","IMOB","IMOB B3","Índice Imobiliário da B3 que mede o desempenho médio das ações de empresas representativas dos setores da atividade imobiliária.","Índice Imobiliário;Índice IMOB","MCID.FontesInstitucionais.B3","B3;https://www.b3.com.br/pt_br/market-data-e-indices/indices/indices-de-segmentos-e-setoriais/indice-imobiliario-imob-b3.htm",""
"MCID.IndicadoresConjunturais","PIBConstrucaoCivil","PIB da construção civil","Valor adicionado e variações da atividade de construção no Sistema de Contas Nacionais, usados como medida de atividade econômica do setor.","PIB da construção;Produto Interno Bruto da construção civil","MCID.FontesInstitucionais.IBGE","IBGE;https://www.ibge.gov.br/explica/pib.php",""
"MCID.IndicadoresConjunturais","IndiceABRAMAT","Índice ABRAMAT","Estudo mensal que acompanha o faturamento deflacionado da indústria de materiais para construção.","ABRAMAT;Índice da indústria de materiais de construção","MCID.FontesInstitucionais.ABRAMAT","ABRAMAT;https://abramat.org.br/indicadores-publicos/",""
"MCID.FontesInstitucionais","IBGE","Instituto Brasileiro de Geografia e Estatística","Instituição federal produtora de estatísticas geográficas, demográficas, sociais e econômicas usadas pelo MCID.","Instituto Brasileiro de Geografia e Estatística","","IBGE;https://www.ibge.gov.br/",""
"MCID.FontesInstitucionais","FGVIBRE","FGV IBRE","Instituto Brasileiro de Economia da Fundação Getúlio Vargas, produtor de índices de preços e sondagens econômicas usados nos modelos.","FGV;IBRE;Fundação Getúlio Vargas","","FGV IBRE;https://portalibre.fgv.br/",""
"MCID.FontesInstitucionais","ABECIP","ABECIP","Associação Brasileira das Entidades de Crédito Imobiliário e Poupança, fonte de séries de poupança e financiamento imobiliário.","Associação Brasileira das Entidades de Crédito Imobiliário e Poupança","MCID.FundosEFontes.SBPE","ABECIP;https://www.abecip.org.br/",""
"MCID.FontesInstitucionais","BACEN","Banco Central do Brasil","Banco Central do Brasil enquanto fonte de estatísticas financeiras e de financiamento imobiliário usadas nos modelos.","BCB;Banco Central;Banco Central do Brasil","","Banco Central do Brasil;https://www.bcb.gov.br/",""
"MCID.FontesInstitucionais","CBIC","CBIC","Câmara Brasileira da Indústria da Construção, fonte de dados de lançamentos e vendas do mercado imobiliário.","Câmara Brasileira da Indústria da Construção","MCID.IndicadoresConjunturais.LancamentoImobiliario;MCID.IndicadoresConjunturais.VendaImobiliaria","CBIC;https://cbic.org.br/",""
"MCID.FontesInstitucionais","ABRAMAT","ABRAMAT","Associação Brasileira da Indústria de Materiais de Construção, produtora do Índice ABRAMAT.","Associação Brasileira da Indústria de Materiais de Construção","MCID.IndicadoresConjunturais.IndiceABRAMAT","ABRAMAT;https://abramat.org.br/",""
"MCID.FontesInstitucionais","B3","B3","Infraestrutura de mercado financeiro responsável pelo cálculo e divulgação do índice setorial IMOB.","Brasil Bolsa Balcão","MCID.IndicadoresConjunturais.IMOB","B3;https://www.b3.com.br/",""
