registro_tipo,origem_fisica,localizacao,nome_arquivo,extensao,tamanho_bytes,periodo_snapshot,disponibilidade,familia_dado,classificacao_dado,linha_principal,linhas_aplicaveis,natureza,entidade_basica,granularidade,campos_chave_esperados,campos_status_esperados,campos_basicos_esperados,dados_pessoais_lgpd,fundamentacao,confianca_classificacao,usa_mcmv_financiada,usa_mcmv_cidades,usa_pro_moradia,usa_classe_media
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_02_20.xlsx,MCMV_CIDADES_EMENDAS_2026_02_20.xlsx,.xlsx,1747140,2026-02-20,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_02_27.xlsx,MCMV_CIDADES_EMENDAS_2026_02_27.xlsx,.xlsx,1761176,2026-02-27,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_03_06.xlsx,MCMV_CIDADES_EMENDAS_2026_03_06.xlsx,.xlsx,1781263,2026-03-06,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_03_13.xlsx,MCMV_CIDADES_EMENDAS_2026_03_13.xlsx,.xlsx,1789264,2026-03-13,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_03_20.xlsx,MCMV_CIDADES_EMENDAS_2026_03_20.xlsx,.xlsx,1798094,2026-03-20,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_03_27.xlsx,MCMV_CIDADES_EMENDAS_2026_03_27.xlsx,.xlsx,1817968,2026-03-27,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_04_02.xlsx,MCMV_CIDADES_EMENDAS_2026_04_02.xlsx,.xlsx,1773230,2026-04-02,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_04_10.xlsx,MCMV_CIDADES_EMENDAS_2026_04_10.xlsx,.xlsx,1791852,2026-04-10,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_04_17.xlsx,MCMV_CIDADES_EMENDAS_2026_04_17.xlsx,.xlsx,1796726,2026-04-17,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_04_24.xlsx,MCMV_CIDADES_EMENDAS_2026_04_24.xlsx,.xlsx,1873549,2026-04-24,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_04_30.xlsx,MCMV_CIDADES_EMENDAS_2026_04_30.xlsx,.xlsx,1881252,2026-04-30,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_05_08.xlsx,MCMV_CIDADES_EMENDAS_2026_05_08.xlsx,.xlsx,1888401,2026-05-08,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_05_13.xlsx,MCMV_CIDADES_EMENDAS_2026_05_13.xlsx,.xlsx,1978844,2026-05-13,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_05_20.xlsx,MCMV_CIDADES_EMENDAS_2026_05_20.xlsx,.xlsx,1920032,2026-05-20,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_05_27.xlsx,MCMV_CIDADES_EMENDAS_2026_05_27.xlsx,.xlsx,1986147,2026-05-27,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_06_03.xlsx,MCMV_CIDADES_EMENDAS_2026_06_03.xlsx,.xlsx,1995004,2026-06-03,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_06_10.xlsx,MCMV_CIDADES_EMENDAS_2026_06_10.xlsx,.xlsx,1999874,2026-06-10,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_06_17.xlsx,MCMV_CIDADES_EMENDAS_2026_06_17.xlsx,.xlsx,2027970,2026-06-17,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_06_24.xlsx,MCMV_CIDADES_EMENDAS_2026_06_24.xlsx,.xlsx,2043155,2026-06-24,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_07_01.xlsx,MCMV_CIDADES_EMENDAS_2026_07_01.xlsx,.xlsx,2054093,2026-07-01,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_07_08.xlsx,MCMV_CIDADES_EMENDAS_2026_07_08.xlsx,.xlsx,2083874,2026-07-08,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_07_15.xlsx,MCMV_CIDADES_EMENDAS_2026_07_15.xlsx,.xlsx,2139555,2026-07-15,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_07_22_0000.xlsx,MCMV_CIDADES_EMENDAS_2026_07_22_0000.xlsx,.xlsx,2189762,2026-07-22,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_07_29.xlsx,MCMV_CIDADES_EMENDAS_2026_07_29.xlsx,.xlsx,2212662,2026-07-29,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_08_05.xlsx,MCMV_CIDADES_EMENDAS_2026_08_05.xlsx,.xlsx,2231073,2026-08-05,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_08_12.xlsx,MCMV_CIDADES_EMENDAS_2026_08_12.xlsx,.xlsx,2252894,2026-08-12,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_08_19.xlsx,MCMV_CIDADES_EMENDAS_2026_08_19.xlsx,.xlsx,2307240,2026-08-19,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/fabrica/GEFUS/ANTERIORES/MCMV_CIDADES_EMENDAS_2026_01_30.xlsx,MCMV_CIDADES_EMENDAS_2026_01_30.xlsx,.xlsx,1719842,2026-01-30,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/fabrica/GEFUS/ANTERIORES/PMCMV_CIDADES_MCID_2026_01_06.csv,PMCMV_CIDADES_MCID_2026_01_06.csv,.csv,16319,2026-01-06,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
