bronze,coluna,justificativa
int065,vr_emprestimo,"breakdown financeiro — mart financeiro"
int065,vr_emprestimo_siapf,"breakdown financeiro — mart financeiro"
int065,vr_subsidio_fgts,"breakdown financeiro — mart financeiro"
int065,vr_contrapartida,"breakdown financeiro — mart financeiro"
int065,vr_cisterna,"breakdown financeiro — mart financeiro"
int065,vr_efluentes,"breakdown financeiro — mart financeiro"
int065,vr_atec_ts_cisterna,"breakdown financeiro — mart financeiro"
int065,vr_tx_adm_cisterna,"breakdown financeiro — mart financeiro"
int065,vr_edificacao,"breakdown financeiro — mart financeiro"
int065,vr_operacao,"breakdown financeiro — mart financeiro"
snh_bb,detalhamento_da_situacao_do_empreendimento_em_janeiro_do_ano,"baseline de janeiro do ano de referência; não usado nesta iteração"
snh_bb,situacao_do_empreendimento_em_janeiro_do_ano_de_referencia,"baseline de janeiro; não usado nesta iteração"
snh_bb,valor_aporte_adicional,"breakdown financeiro — mart financeiro"
snh_caixa,mcmv_ogu_27_qtd_vigentes_janeiro_ano_dt_referencia,"redundante com quantidade_de_uhs_vigentes_em_janeiro_do_ano_de_referencia"
snh_caixa,mcmv_ogu_28_qtd_entregues_ano_dt_referencia,"redundante com quantidade_de_uhs_entregues_do_ano_de_referencia"
snh_caixa,mcmv_ogu_30_vlr_desembolsado_no_ano_dt_referencia,"redundante com valor_desembolsado_do_ano_de_referencia"
snh_caixa,mcmv_ogu_31_txt_detalha_situacao_empreendimento_janeiro_ano_dt,"redundante com detalhamento_da_situacao_do_empreendimento_em_janeiro_do_ano"
snh_caixa,detalhamento_da_situacao_do_empreendimento_em_janeiro_do_ano,"baseline de janeiro; não usado nesta iteração"
snh_caixa,situacao_do_empreendimento_em_janeiro_do_ano_de_referencia,"baseline de janeiro; não usado nesta iteração"
snh_caixa,valor_aporte_adicional,"breakdown financeiro — mart financeiro"
snh_caixa,qt_uh_entregues,"0% real; duplicata de uh_entregues"
